day_counter,mean_returnNEG,sd_NEG,kurtosis_NEG,skewness_NEG,mean_returnPOS,sd_POS,kurtosis_POS,skewness_POS
-10,-0.00163208,0.03642557,11.00457097,-0.25796733,0.00168747,0.03288165,12.31272972,1.06550656
-9,-0.00109410,0.03753273,11.09007438,-0.14237971,-0.00138005,0.03241450,9.95894071,0.22252970
-8,-0.00167356,0.03949831,26.50585725,-0.44169662,-0.00180054,0.03395194,14.27636210,-0.67232303
-7,-0.00062779,0.03647755,13.14785693,0.09485599,-0.00112720,0.03304083,12.01087187,0.57586968
-6,-0.00023831,0.04142085,19.44034995,1.62840419,-0.00005080,0.02544628,18.69057572,0.13017146
-5,-0.00113204,0.04050297,15.54562068,0.61518417,0.00006945,0.01885249,26.26016741,0.66209369
-4,-0.00032512,0.03653016,12.80001808,0.82709507,-0.00151317,0.03172176,10.30828884,0.14206043
-3,-0.00208969,0.03564141,8.11006400,-0.02923669,-0.00246475,0.03607242,11.99468060,-0.28628491
-2,-0.00225866,0.04087777,9.60108569,0.00537416,-0.00027000,0.03818636,12.25446364,0.84053615
-1,-0.00171202,0.04298449,8.14255232,0.73461530,0.00082576,0.03840790,11.46958732,0.14364762
0,,,,,,,,
1,-0.05163656,0.03268076,9.43428870,0.14820310,0.05636444,0.02691915,13.26448896,-0.99308530
2,0.00672395,0.04119270,19.27414325,1.80822278,0.00019192,0.03506285,11.96156949,0.36311342
3,0.00244273,0.03921310,10.44896955,-0.32387059,0.00035348,0.03178794,11.23188970,0.64660474
4,0.00123844,0.03628239,8.04979188,0.38718759,-0.00103777,0.03068427,9.70223906,0.39345795
5,0.00120343,0.03888944,20.94794827,0.07612000,0.00001172,0.03300875,22.00724913,-0.08136728
6,0.00241118,0.03625926,13.00488578,1.26008011,-0.00111679,0.03115393,20.25473894,0.93300820
7,0.00177104,0.03711417,16.43650757,-0.52175825,0.00090543,0.03026128,8.56473310,0.32333198
8,0.00132747,0.03578157,18.14588940,1.64483149,-0.00204899,0.03087255,16.81583843,0.89550413
9,0.00019866,0.03270486,9.89675480,-0.01097860,-0.00209094,0.03064827,13.92722122,0.24409473
10,0.00232624,0.03536128,25.77894710,2.31746498,-0.00054505,0.02913665,10.41686777,0.24732645